Table S1. List of 952 mtDNA genomes identified in modern Japanese.			
Haplogroups	Accession Numbers	Sample Names	References
D4	AP008256.1	GCsq0020	[30]
D4	AP008264.1	TCsq0005	[30]
D4	AP008267.1	TCsq0008	[30]
D4	AP008268.1	TCsq0009	[30]
D4	AP008272.1	TCsq0013	[30]
D4	AP008275.1	TCsq0016	[30]
D4	AP008277.1	TCsq0018	[30]
D4	AP008278.1	TCsq0019	[30]
D4	AP008285.1	TCsq0026	[30]
D4	AP008286.1	TCsq0027	[30]
D4	AP008287.1	TCsq0028	[30]
D4	AP008291.1	TCsq0032	[30]
D4	AP008292.1	TCsq0033	[30]
D4	AP008293.1	TCsq0034	[30]
D4	AP008296.1	TCsq0037	[30]
D4	AP008300.1	TCsq0041	[30]
D4	AP008302.1	TCsq0043	[30]
D4	AP008303.1	TCsq0044	[30]
D4	AP008309.1	TCsq0050	[30]
D4	AP008312.1	TCsq0053	[30]
D4	AP008314.1	TCsq0055	[30]
D4	AP008318.1	TCsq0059	[30]
D4	AP008320.1	TCsq0061	[30]
D4	AP008321.1	TCsq0062	[30]
D4	AP008326.1	TCsq0067	[30]
D4	AP008329.1	TCsq0070	[30]
D4	AP008331.1	TCsq0072	[30]
D4	AP008332.1	TCsq0073	[30]
D4	AP008333.1	TCsq0074	[30]
D4	AP008334.1	TCsq0075	[30]
D4	AP008337.1	TCsq0078	[30]
D4	AP008339.1	TCsq0080	[30]
D4	AP008344.1	TCsq0085	[30]
D4	AP008348.1	PDsq0005	[30]
D4	AP008352.1	PDsq0010	[30]
D4	AP008356.1	PDsq0016	[30]
D4	AP008357.1	PDsq0017	[30]
D4	AP008361.1	PDsq0023	[30]
D4	AP008366.1	PDsq0028	[30]
D4	AP008368.1	PDsq0030	[30]
D4	AP008369.1	PDsq0031	[30]
D4	AP008380.1	PDsq0045	[30]
D4	AP008382.1	PDsq0048	[30]
D4	AP008383.1	PDsq0049	[30]
D4	AP008388.1	PDsq0057	[30]
D4	AP008390.1	PDsq0060	[30]
D4	AP008391.1	PDsq0061	[30]
D4	AP008392.1	PDsq0065	[30]
D4	AP008395.1	PDsq0071	[30]
D4	AP008397.1	PDsq0073	[30]
D4	AP008398.1	PDsq0074	[30]
D4	AP008399.1	PDsq0078	[30]
D4	AP008408.1	PDsq0098	[30]
D4	AP008410.1	PDsq0100	[30]
D4	AP008411.1	PDsq0101	[30]
D4	AP008413.1	PDsq0110	[30]
D4	AP008416.1	PDsq0113	[30]
D4	AP008418.1	PDsq0116	[30]
D4	AP008422.1	PDsq0120	[30]
D4	AP008424.1	PDsq0122	[30]
D4	AP008428.1	PDsq0127	[30]
D4	AP008431.1	PDsq0131	[30]
D4	AP008432.1	PDsq0134	[30]
D4	AP008434.1	PDsq0136	[30]
D4	AP008438.1	PDsq0142	[30]
D4	AP008440.1	PDsq0144	[30]
D4	AP008444.1	KAsq0006	[30]
D4	AP008447.1	KAsq0009	[30]
D4	AP008449.1	KAsq0011	[30]
D4	AP008453.1	KAsq0015	[30]
D4	AP008457.1	KAsq0019	[30]
D4	AP008458.1	KAsq0020	[30]
D4	AP008462.1	KAsq0024	[30]
D4	AP008463.1	KAsq0025	[30]
D4	AP008467.1	KAsq0029	[30]
D4	AP008468.1	KAsq0030	[30]
D4	AP008476.1	KAsq0038	[30]
D4	AP008477.1	KAsq0039	[30]
D4	AP008479.1	KAsq0041	[30]
D4	AP008480.1	KAsq0042	[30]
D4	AP008481.1	KAsq0043	[30]
D4	AP008487.1	KAsq0049	[30]
D4	AP008489.1	KAsq0051	[30]
D4	AP008493.1	KAsq0055	[30]
D4	AP008494.1	KAsq0056	[30]
D4	AP008496.1	KAsq0058	[30]
D4	AP008497.1	KAsq0059	[30]
D4	AP008499.1	KAsq0061	[30]
D4	AP008501.1	KAsq0063	[30]
D4	AP008502.1	KAsq0064	[30]
D4	AP008506.1	KAsq0068	[30]
D4	AP008520.1	KAsq0083	[30]
D4	AP008523.1	KAsq0086	[30]
D4	AP008524.1	KAsq0087	[30]
D4	AP008526.1	KAsq0089	[30]
D4	AP008527.1	KAsq0090	[30]
D4	AP008530.1	KAsq0093	[30]
D4	AP008533.1	KAsq0096	[30]
D4	AP008539.1	ONsq0005	[30]
D4	AP008542.1	ONsq0011	[30]
D4	AP008543.1	ONsq0012	[30]
D4	AP008544.1	ONsq0013	[30]
D4	AP008545.1	ONsq0014	[30]
D4	AP008549.1	ONsq0019	[30]
D4	AP008551.1	ONsq0023	[30]
D4	AP008557.1	ONsq0033	[30]
D4	AP008559.1	ONsq0035	[30]
D4	AP008560.1	ONsq0036	[30]
D4	AP008561.1	ONsq0037	[30]
D4	AP008564.1	ONsq0040	[30]
D4	AP008565.1	ONsq0041	[30]
D4	AP008574.1	ONsq0055	[30]
D4	AP008575.1	ONsq0059	[30]
D4	AP008578.1	ONsq0063	[30]
D4	AP008579.1	ONsq0065	[30]
D4	AP008582.1	ONsq0068	[30]
D4	AP008583.1	ONsq0069	[30]
D4	AP008587.1	ONsq0079	[30]
D4	AP008589.1	ONsq0082	[30]
D4	AP008598.1	ONsq0095	[30]
D4	AP008602.1	ONsq0100	[30]
D4	AP008609.1	ONsq0112	[30]
D4	AP008611.1	ONsq0115	[30]
D4	AP008612.1	ONsq0119	[30]
D4	AP008614.1	ONsq0121	[30]
D4	AP008624.1	ONsq0138	[30]
D4	AP008627.1	ONsq0142	[30]
D4	AP008628.1	ONsq0143	[30]
D4	AP008632.1	ONsq0151	[30]
D4	AP008633.1	HNsq0006	[30]
D4	AP008634.1	HNsq0018	[30]
D4	AP008636.1	HNsq0054	[30]
D4	AP008637.1	HNsq0117	[30]
D4	AP008638.1	HNsq0118	[30]
D4	AP008641.1	HNsq0154	[30]
D4	AP008646.1	HNsq0159	[30]
D4	AP008649.1	HNsq0162	[30]
D4	AP008651.1	HNsq0164	[30]
D4	AP008652.1	HNsq0165	[30]
D4	AP008655.1	HNsq0168	[30]
D4	AP008656.1	HNsq0169	[30]
D4	AP008659.1	HNsq0172	[30]
D4	AP008663.1	HNsq0176	[30]
D4	AP008670.1	HNsq0183	[30]
D4	AP008672.1	HNsq0185	[30]
D4	AP008675.1	HNsq0188	[30]
D4	AP008676.1	HNsq0189	[30]
D4	AP008681.1	HNsq0194	[30]
D4	AP008684.1	HNsq0208	[30]
D4	AP008685.1	HNsq0209	[30]
D4	AP008690.1	HNsq0214	[30]
D4	AP008693.1	HNsq0217	[30]
D4	AP008697.1	HNsq0221	[30]
D4	AP008698.1	HNsq0222	[30]
D4	AP008700.1	HNsq0224	[30]
D4	AP008703.1	HNsq0227	[30]
D4	AP008706.1	HNsq0232	[30]
D4	AP008708.1	HNsq0234	[30]
D4	AP008709.1	HNsq0235	[30]
D4	AP008715.1	HNsq0241	[30]
D4	AP008718.1	HNsq0244	[30]
D4	AP008724.1	HNsq0250	[30]
D4	AP008730.1	NDsq0003	[30]
D4	AP008732.1	NDsq0011	[30]
D4	AP008738.1	NDsq0022	[30]
D4	AP008739.1	NDsq0026	[30]
D4	AP008745.1	NDsq0042	[30]
D4	AP008746.1	NDsq0044	[30]
D4	AP008749.1	NDsq0047	[30]
D4	AP008754.1	NDsq0064	[30]
D4	AP008757.1	NDsq0068	[30]
D4	AP008759.1	NDsq0073	[30]
D4	AP008765.1	NDsq0097	[30]
D4	AP008767.1	NDsq0101	[30]
D4	AP008768.1	NDsq0103	[30]
D4	AP008770.1	NDsq0105	[30]
D4	AP008772.1	NDsq0107	[30]
D4	AP008773.1	NDsq0108	[30]
D4	AP008776.1	NDsq0116	[30]
D4	AP008778.1	NDsq0118	[30]
D4	AP008780.1	NDsq0124	[30]
D4	AP008782.1	NDsq0130	[30]
D4	AP008786.1	NDsq0140	[30]
D4	AP008787.1	NDsq0146	[30]
D4	AP008789.1	NDsq0151	[30]
D4	AP008795.1	NDsq0162	[30]
D4	AP008796.1	NDsq0163	[30]
D4	AP008804.1	NDsq0184	[30]
D4	AP008805.1	NDsq0186	[30]
D4	AP008806.1	NDsq0188	[30]
D4	AP008810.1	NDsq0193	[30]
D4	AP008811.1	NDsq0194	[30]
D4	AP008812.1	NDsq0199	[30]
D4	AP008814.1	NDsq0205	[30]
D4	AP008817.1	NDsq0209	[30]
D4	AP008819.1	NDsq0212	[30]
D4	AP008825.1	JDsq0001	[30]
D4	AP008826.1	JDsq0003	[30]
D4	AP008830.1	JDsq0008	[30]
D4	AP008834.1	JDsq0012	[30]
D4	AP008838.1	JDsq0016	[30]
D4	AP008839.1	JDsq0017	[30]
D4	AP008844.1	JDsq0024	[30]
D4	AP008849.1	JDsq0030	[30]
D4	AP008851.1	JDsq0032	[30]
D4	AP008855.1	JDsq0036	[30]
D4	AP008857.1	JDsq0038	[30]
D4	AP008858.1	JDsq0039	[30]
D4	AP008862.1	JDsq0044	[30]
D4	AP008866.1	JDsq0048	[30]
D4	AP008868.1	JDsq0050	[30]
D4	AP008869.1	JDsq0051	[30]
D4	AP008871.1	JDsq0053	[30]
D4	AP008872.1	JDsq0054	[30]
D4	AP008876.1	JDsq0059	[30]
D4	AP008880.1	JDsq0063	[30]
D4	AP008881.1	JDsq0064	[30]
D4	AP008888.1	JDsq0072	[30]
D4	AP008890.1	JDsq0074	[30]
D4	AP008891.1	JDsq0075	[30]
D4	AP008896.1	JDsq0080	[30]
D4	AP008903.1	JDsq0087	[30]
D4	AP008905.1	JDsq0089	[30]
D4	AP008907.1	JDsq0091	[30]
D4	AP008908.1	JDsq0092	[30]
D4	AP008916.1	JDsq0100	[30]
D4	AP009419.1	mdmd1	[54]
D4	AP009422.1	mdmd4	[54]
D4	AP009428.1	mdmd10	[54]
D4	AP009430.1	mdmd12	[54]
D4	AP009431.1	mdmd13	[54]
D4	AP009432.1	mdmd14	[54]
D4	AP009433.1	mdmd15	[54]
D4	AP009437.1	mdmd19	[54]
D4	AP009441.1	mdmd23	[54]
D4	AP009442.1	mdmd24	[54]
D4	AP009445.1	mdmd27	[54]
D4	AP009448.1	mdmd30	[54]
D4	AP009449.1	mdmd31	[54]
D4	AP009453.1	mdmd35	[54]
D4	AP009462.1	mdmd44	[54]
D4	AP009464.1	mdmd46	[54]
D4	AP009465.1	mdmd47	[54]
D4	AP009467.1	mdmd49	[54]
D4	AP009469.1	mdmd51	[54]
D4	AP009472.1	mdmd54	[54]
D4	AP010663.1	SCsq0003	[56]
D4	AP010666.1	SCsq0006	[56]
D4	AP010667.1	SCsq0007	[56]
D4	AP010669.1	SCsq0009	[56]
D4	AP010673.1	SCsq0013	[56]
D4	AP010676.1	SCsq0016	[56]
D4	AP010677.1	SCsq0017	[56]
D4	AP010678.1	SCsq0018	[56]
D4	AP010682.1	SCsq0022	[56]
D4	AP010688.1	SCsq0028	[56]
D4	AP010691.1	SCsq0031	[56]
D4	AP010693.1	SCsq0033	[56]
D4	AP010694.1	SCsq0034	[56]
D4	AP010695.1	SCsq0035	[56]
D4	AP010697.1	SCsq0037	[56]
D4	AP010700.1	SCsq0040	[56]
D4	AP010702.1	SCsq0042	[56]
D4	AP010707.1	SCsq0047	[56]
D4	AP010710.1	SCsq0050	[56]
D4	AP010711.1	SCsq0051	[56]
D4	AP010712.1	SCsq0052	[56]
D4	AP010713.1	SCsq0053	[56]
D4	AP010714.1	SCsq0054	[56]
D4	AP010715.1	SCsq0055	[56]
D4	AP010720.1	SCsq0060	[56]
D4	AP010721.1	SCsq0061	[56]
D4	AP010723.1	SCsq0063	[56]
D4	AP010726.1	SCsq0066	[56]
D4	AP010727.1	SCsq0067	[56]
D4	AP010729.1	SCsq0069	[56]
D4	AP010732.1	SCsq0072	[56]
D4	AP010737.1	SCsq0077	[56]
D4	AP010741.1	SCsq0081	[56]
D4	AP010742.1	SCsq0082	[56]
D4	AP010749.1	SCsq0089	[56]
D4	AP010751.1	SCsq0091	[56]
D4	AP010752.1	SCsq0092	[56]
D4	AP010756.1	SCsq0097	[56]
D4	AP010759.1	SCsq0100	[56]
D4	AP010760.1	SCsq0101	[56]
D4	AP010762.1	SCsq0103	[56]
D4	AP010764.1	SCsq0105	[56]
D4	AP010765.1	SCsq0106	[56]
D4	AP010766.1	SCsq0107	[56]
D4	AP010770.1	SCsq0111	[56]
D4	AP010830.1	AC1044	[59]
D4	AP010831.1	OY1056	[59]
D4	AP010973.1	SPsq0006	[58]
D4	AP010974.1	SPsq0007	[58]
D4	AP010977.1	SPsq0010	[58]
D4	AP010978.1	SPsq0011	[58]
D4	AP010981.1	SPsq0015	[58]
D4	AP010982.1	SPsq0016	[58]
D4	AP010983.1	SPsq0017	[58]
D4	AP010984.1	SPsq0018	[58]
D4	AP010985.1	SPsq0019	[58]
D4	AP010987.1	SPsq0021	[58]
D4	AP010988.1	SPsq0022	[58]
D4	AP010990.1	SPsq0024	[58]
D4	AP010991.1	SPsq0025	[58]
D4	AP010999.1	SPsq0033	[58]
D4	AP011000.1	SPsq0034	[58]
D4	AP011001.1	SPsq0035	[58]
D4	AP011004.1	SPsq0038	[58]
D4	AP011005.1	SPsq0039	[58]
D4	AP011008.1	SPsq0042	[58]
D4	AP011010.1	SPsq0044	[58]
D4	AP011012.1	SPsq0046	[58]
D4	AP011013.1	SPsq0047	[58]
D4	AP011015.1	SPsq0049	[58]
D4	AP011021.1	SPsq0055	[58]
D4	AP011029.1	SPsq0064	[58]
D4	AP011032.1	SPsq0067	[58]
D4	AP011033.1	SPsq0069	[58]
D4	AP011035.1	SPsq0071	[58]
D4	AP011036.1	SPsq0072	[58]
D4	AP011040.1	SPsq0077	[58]
D4	AP011041.1	SPsq0078	[58]
D4	AP011042.1	SPsq0079	[58]
D4	AP011047.1	SPsq0084	[58]
D4	AP011051.1	SPsq0088	[58]
D4	AP011052.1	SPsq0089	[58]
D4	AP011053.1	SPsq0090	[58]
D4	AP011055.1	SPsq0092	[58]
D4	DQ112864.2	AS05	[55]
D4	DQ112867.2	AS07	[55]
D4	DQ112868.2	AS27	[55]
D4	EU597488.1	NA18977	[57]
D5	AP008250.1	GCsq0008	[30]
D5	AP008258.1	GCsq0022	[30]
D5	AP008259.1	GCsq0033	[30]
D5	AP008260.1	TCsq0001	[30]
D5	AP008271.1	TCsq0012	[30]
D5	AP008283.1	TCsq0024	[30]
D5	AP008289.1	TCsq0030	[30]
D5	AP008315.1	TCsq0056	[30]
D5	AP008345.1	PDsq0002	[30]
D5	AP008375.1	PDsq0037	[30]
D5	AP008407.1	PDsq0097	[30]
D5	AP008409.1	PDsq0099	[30]
D5	AP008437.1	PDsq0141	[30]
D5	AP008460.1	KAsq0022	[30]
D5	AP008486.1	KAsq0048	[30]
D5	AP008519.1	KAsq0082	[30]
D5	AP008536.1	KAsq0100	[30]
D5	AP008568.1	ONsq0046	[30]
D5	AP008572.1	ONsq0052	[30]
D5	AP008619.1	ONsq0128	[30]
D5	AP008626.1	ONsq0141	[30]
D5	AP008674.1	HNsq0187	[30]
D5	AP008769.1	NDsq0104	[30]
D5	AP008771.1	NDsq0106	[30]
D5	AP008777.1	NDsq0117	[30]
D5	AP008813.1	NDsq0202	[30]
D5	AP008818.1	NDsq0210	[30]
D5	AP008828.1	JDsq0006	[30]
D5	AP008854.1	JDsq0035	[30]
D5	AP009424.1	mdmd6	[54]
D5	AP010708.1	SCsq0048	[56]
D5	AP010743.1	SCsq0083	[56]
D5	AP010971.1	SPsq0002	[58]
D5	AP010972.1	SPsq0005	[58]
D5	AP011023.1	SPsq0057	[58]
D5	AP011034.1	SPsq0070	[58]
D6	AP008865.1	JDsq0047	[30]
D6	AP011006.1	SPsq0040	[58]
D6	AP011054.1	SPsq0091	[58]
F1	AP008279.1	TCsq0020	[30]
F1	AP008338.1	TCsq0079	[30]
F1	AP008347.1	PDsq0004	[30]
F1	AP008475.1	KAsq0037	[30]
F1	AP008658.1	HNsq0171	[30]
F1	AP008667.1	HNsq0180	[30]
F1	AP008679.1	HNsq0192	[30]
F1	AP008691.1	HNsq0215	[30]
F1	AP008701.1	HNsq0225	[30]
F1	AP008733.1	NDsq0015	[30]
F1	AP008774.1	NDsq0109	[30]
F1	AP008798.1	NDsq0167	[30]
F1	AP008906.1	JDsq0090	[30]
F1	AP009440.1	mdmd22	[54]
F1	AP009474.1	mdmd56	[54]
F1	AP010664.1	SCsq0004	[56]
F1	AP010728.1	SCsq0068	[56]
F1	AP010731.1	SCsq0071	[56]
F1	AP010738.1	SCsq0078	[56]
F1	AP010754.1	SCsq0094	[56]
F1	AP010837.1	TK1079	[59]
F1	AP010975.1	SPsq0008	[58]
F1	AP011011.1	SPsq0045	[58]
F1	AP011025.1	SPsq0060	[58]
F1	AP011031.1	SPsq0066	[58]
F2	AP008306.1	TCsq0047	[30]
F2	AP008328.1	TCsq0069	[30]
F2	AP008362.1	PDsq0024	[30]
F2	AP008421.1	PDsq0119	[30]
F2	AP008441.1	KAsq0001	[30]
F2	AP008446.1	KAsq0008	[30]
F2	AP008473.1	KAsq0035	[30]
F2	AP008478.1	KAsq0040	[30]
F2	AP008490.1	KAsq0052	[30]
F2	AP008498.1	KAsq0060	[30]
F2	AP008508.1	KAsq0070	[30]
F2	AP008577.1	ONsq0062	[30]
F2	AP008591.1	ONsq0084	[30]
F2	AP008616.1	ONsq0123	[30]
F2	AP008648.1	HNsq0161	[30]
F2	AP008692.1	HNsq0216	[30]
F2	AP008713.1	HNsq0239	[30]
F2	AP008716.1	HNsq0242	[30]
F2	AP008717.1	HNsq0243	[30]
F2	AP008763.1	NDsq0087	[30]
F2	AP008808.1	NDsq0190	[30]
F2	AP008820.1	NDsq0214	[30]
F2	AP008864.1	JDsq0046	[30]
F2	AP008892.1	JDsq0076	[30]
F2	AP008919.1	JDsq0104	[30]
F2	AP010670.1	SCsq0010	[56]
F2	AP010683.1	SCsq0023	[56]
F2	AP010706.1	SCsq0046	[56]
F4	AP008683.1	HNsq0205	[30]
F4	AP008744.1	NDsq0041	[30]
F4	AP010980.1	SPsq0014	[58]
G	AP008294.1	TCsq0035	[30]
G	AP008301.1	TCsq0042	[30]
G	AP008304.1	TCsq0045	[30]
G	AP008313.1	TCsq0054	[30]
G	AP008319.1	TCsq0060	[30]
G	AP008342.1	TCsq0083	[30]
G	AP008358.1	PDsq0018	[30]
G	AP008360.1	PDsq0022	[30]
G	AP008374.1	PDsq0036	[30]
G	AP008377.1	PDsq0042	[30]
G	AP008379.1	PDsq0044	[30]
G	AP008386.1	PDsq0054	[30]
G	AP008389.1	PDsq0058	[30]
G	AP008401.1	PDsq0080	[30]
G	AP008417.1	PDsq0115	[30]
G	AP008427.1	PDsq0126	[30]
G	AP008442.1	KAsq0002	[30]
G	AP008445.1	KAsq0007	[30]
G	AP008448.1	KAsq0010	[30]
G	AP008452.1	KAsq0014	[30]
G	AP008454.1	KAsq0016	[30]
G	AP008484.1	KAsq0046	[30]
G	AP008500.1	KAsq0062	[30]
G	AP008505.1	KAsq0067	[30]
G	AP008511.1	KAsq0073	[30]
G	AP008515.1	KAsq0078	[30]
G	AP008528.1	KAsq0091	[30]
G	AP008535.1	KAsq0098	[30]
G	AP008537.1	ONsq0001	[30]
G	AP008569.1	ONsq0047	[30]
G	AP008573.1	ONsq0053	[30]
G	AP008593.1	ONsq0087	[30]
G	AP008613.1	ONsq0120	[30]
G	AP008615.1	ONsq0122	[30]
G	AP008618.1	ONsq0127	[30]
G	AP008645.1	HNsq0158	[30]
G	AP008662.1	HNsq0175	[30]
G	AP008668.1	HNsq0181	[30]
G	AP008680.1	HNsq0193	[30]
G	AP008696.1	HNsq0220	[30]
