CC=Georgia+Chechens 'caucasian'.  HU= Burushaski AN=Turkish GJ=Gujarati UZ=Uzbek Turkmen=TK
AN	CC	PE	TI	GI	MA	KI	LU	BA	BR	PA	SI	KA	PT	MK	HZ	HU	KL	GJ	UZ	TK	KT	SH
V	0	0	0	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
U*	0	0	0	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3
U1	6.0	5.2	0	7.5	2.7	0	0	5.9	0	0	4.5	0	0	0	3.0	4.3	6.8	0	0	0	0	0	0
U2*	0	0	2.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
U2a	0	0	0	0	0	0	0	0	2.6	5.3	0	4.3	5.0	6.8	3.0	0	2.3	0	8.8	0	0	0	0
U2b	0	0	0	0	0	0	0	0	0	0	0	4.3	4.0	6.8	3.0	0	9.1	0	5.9	0	0	0	0
U2c	0	0	0	0	0	0	0	0	0	0	0	8.7	2.0	2.3	3.0	0	0	0	2.9	0	0	0	0
U2e	2.0	3.4	2.4	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	15.9	0	0	2.4	6.3	6.8
U3	2.0	3.4	4.8	2.5	2.7	0	0	17.6	0	0	0	0	0	0	0	0	2.3	0	0	2.4	0	3.1	0
U4	2.0	3.4	2.4	0	0	0	0	5.9	2.6	0	13.6	0	0	0	0	8.7	4.5	34.1	0	4.8	2.4	0	4.5
U5	8.0	1.8	2.4	2.5	0	0	5.0	0	2.6	0	0	4.3	0	2.3	0	8.7	2.3	0	0	0	0	0	4.5
U7	2.0	0	2.4	2.5	10.8	0	20.0	5.9	2.6	10.5	2.3	8.7	5.0	0	3.0	4.3	6.8	2.3	8.8	4.8	0	0	0
U8b	2.0	0	0	0	2.7	0	10.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3
U9	0	0	0	0	0	0	0	0	0	0	0	0	1.0	2.3	9.1	0	0	0	0	0	0	0	0
K	6.0	8.6	7.1	5.0	2.7	0	10.0	5.9	2.6	0	0	0	0	2.3	0	0	4.5	0	0	0	0	12.5	9.1
J1	6.0	8.6	16.7	7.5	16.2	19.0	10.0	5.9	5.1	7.9	0	0	1.0	6.8	6.1	0	6.8	2.3	2.9	7.1	9.8	3.1	4.5
J2	2.0	0	0	2.5	0	4.8	0	0	2.6	0	0	0	0	0	0	0	0	9.1	0	0	0	3.1	0
T*	8.0	10.3	7.1	12.5	13.5	9.5	0	5.9	0	0	4.5	0	1.0	4.5	0	0	2.3	4.5	0	4.8	4.9	18.8	2.3
T1	0	3.4	2.4	2.5	2.7	4.8	0	0	0	5.3	6.8	0	0	4.5	0	0	2.3	0	0	0	2.4	0	0
