Haplogroups	Cham	Kinh	Viet	Thailand	Cambodia	Hainan	Formosa	Philippine	Orang Asli	Melayu Malay	Indonesia	Sumatra 	Java	Borneo	Sulawesi	Bali	Lombok	Sumba	Alor_1	Ambon	Adonara	Alor_2	E-Timor	Flores	Lembata	Pantar	Solor
F3b							7.9 	3.9 		0.3 	1.9 			5.7 				2.0 					2.6 				
F4		0.7 		0.4 		3.8 	12.0 	0.4 				1.7 															
G	0.6 	0.7 	1.7 	1.3 		3.8 	0.1 			0.3 																	
L										0.3 																	
M*			3.4 	12.0 	22.6 	3.8 	0.7 	2.6 	2.5 	9.0 	14.8 	9.4 	19.6 	8.9 	3.0 	15.9 	6.8 	6.0 	2.2 	7.0 	1.3 	7.4 	2.6 	5.2 	2.9 	7.9 	22.0 
M10		0.7 	1.4 	0.2 		0.6 	0.6 																				
M12	1.2 	1.4 	1.7 	1.7 		2.5 	0.3 			1.3 		1.7 		1.3 		1.2 											
M17	4.2 		0.3 	0.2 	6.5 			0.9 		0.5 		0.6 	2.2 		0.4 	3.7 	2.3 	2.0 	2.2 	2.3 				2.6 		5.3 	
M19			1.0 							0.3 	1.9 	0.6 						2.0 									
M20	0.6 	0.7 	0.3 	1.3 				0.2 		1.8 	3.7 	3.9 		2.5 	1.3 	1.2 											
M21a				0.4 				0.4 	25.4 	2.8 	1.9 			1.3 													
M21b									3.9 	0.5 	1.9 	0.6 		1.3 	0.4 												12.2 
M21c								0.2 	0.7 	0.5 																	
M21d	2.4 			0.4 												3.7 					5.2 	3.7 			2.9 		
M22	0.6 	0.7 		0.4 					2.1 	1.0 							2.3 										
M33c		0.7 	0.3 			2.5 																					
M47			0.3 									1.1 									1.3 						
M50	1.8 			0.2 						1.3 		2.8 			0.4 												
M51	1.2 	1.4 	0.3 	1.1 		0.6 			0.4 	1.3 	1.9 	1.7 		4.5 	2.1 	2.4 	6.8 		2.2 	2.3 	1.3 					5.3 	
M7*		0.7 		0.2 		5.0 		0.2 		0.5 		2.8 		0.6 	1.3 	1.2 		2.0 		2.3 							
M71	0.6 		1.7 	2.8 		0.6 		1.3 		1.8 		0.6 					2.3 										
M72		0.7 						0.2 									2.3 				2.6 					5.3 	
M73	2.4 			0.2 	3.2 			0.4 		1.3 									2.2 					2.6 			
M77	2.4 									0.5 																	
M7b*	2.4 	4.3 	5.5 	3.4 		2.5 	0.1 	0.2 		1.3 		0.6 		1.3 		1.2 				2.3 							
M7b1	3.0 	6.5 	5.8 	4.1 		6.9 	0.7 	1.3 		2.6 	1.9 	1.7 	2.2 	0.6 	0.4 	4.9 	9.1 			2.3 							
M7b3			0.3 				10.9 	2.9 							1.3 			8.0 						1.3 			
M7c*	1.2 	1.4 	1.0 	1.1 											0.4 												
M7c1*		2.9 	2.4 	0.2 		1.9 	1.4 	0.9 	0.4 	0.3 				0.6 													
M7c3c	1.2 			0.2 			4.9 	10.9 	2.9 	7.2 	7.4 	8.9 	10.9 	7.0 	11.0 	6.1 	2.3 	12.0 	4.4 	2.3 	7.8 	3.7 		9.1 		5.3 	4.9 
M8a	1.8 	0.7 	1.4 	0.4 		3.8 		0.2 		0.5 																	
M9	1.2 	2.9 	0.7 	0.8 						0.3 	1.9 			0.6 													
N*				0.4 		2.5 		0.2 		0.5 		1.1 		3.8 													
N10			0.7 	1.1 		0.6 																					
N21	1.8 			1.9 	6.5 				8.6 	1.3 		0.6 			0.4 	1.2 			4.4 			3.7 					
N22			0.3 	0.4 				0.6 	1.4 	0.3 	1.9 							8.0 									
N23		0.7 		0.4 						0.5 		2.2 	15.2 														
N9a*	4.2 	0.7 	2.7 	1.5 		1.9 	1.8 			0.8 																	
N9a6	3.0 	0.7 	1.7 	0.4 					6.1 	2.1 	1.9 	3.3 	2.2 	0.6 	0.8 												
P								1.1 							1.3 			4.0 				3.7 	5.3 	1.3 	5.9 	2.6 	2.4 
Q										0.3 	1.9 			1.3 	2.5 	1.2 		4.0 	28.9 	11.6 	15.6 	14.8 	23.7 	3.9 	17.6 	34.2 	9.8 
R*			0.7 	2.3 	3.2 	4.4 		2.8 		3.9 		1.1 		1.9 													
R11	1.2 			0.2 		1.3 								0.6 													
R21									19.3 	0.5 																	
R22	4.2 			1.1 	6.5 					1.0 		0.6 	2.2 	1.9 	0.8 	6.1 	11.4 	8.0 	2.2 								2.4 
R23	1.2 															6.1 		2.0 									
R9b	3.0 	4.3 	3.4 	2.8 	3.2 	5.7 			8.6 	2.1 		1.7 	4.3 	0.6 	0.8 		4.5 				2.6 		2.6 		2.9 		
R9c	1.8 	2.2 	1.4 	0.9 		1.3 	2.1 	4.8 		0.3 				1.9 	0.8 			2.0 	11.1 		2.6 	3.7 	7.9 	1.3 	5.9 	5.3 	2.4 
R9d		0.7 	1.4 	1.1 	3.2 	1.3 								0.6 		1.2 											
U			0.7 	0.2 						1.5 		0.6 									1.3 	3.7 					
W		0.7 	0.3 																								
Y							1.4 	5.3 		0.8 	3.7 	6.7 	2.2 	1.9 	1.7 	1.2 					2.6 				2.9 		
Z		3.6 	1.0 	0.8 		0.6 		0.2 		1.5 	1.9 	0.6 		0.6 										7.8 			
Sample Size	168 	139 	292 	533 	31 	159 	718 	543 	280 	388 	54 	180 	46 	157 	237 	82 	44 	50 	45 	43 	77 	27 	38 	77 	34 	38 	41 
